codigo,producto,descripcion,marca,categoria,subcategoria,modelo,unidad_medida,precio,precio_mayoreo,precio_menudeo
SOD-CEM-001,Cemento Gris CEMEX 50kg,Cemento Portland gris CPC 30R RS bulto 50kg,CEMEX,CONSTRUCCION,CONSTRUCCION,SOD-CEM-001,Pieza,175.00,152.25,197.75
SOD-ARE-001,Arena de Río m3,Arena de río cribada para construcción m3,LOCAL,CONSTRUCCION,CONSTRUCCION,SOD-ARE-001,m3,320.00,278.40,361.60
SOD-GRA-001,"Grava 3/4"" m3",Grava triturada 3/4 pulgada para concreto m3,LOCAL,CONSTRUCCION,CONSTRUCCION,SOD-GRA-001,m3,385.00,334.95,435.05
SOD-VAR-001,"Varilla #3 (3/8"") DEACERO",Varilla corrugada #3 3/8 pulgada 6m,DEACERO,CONSTRUCCION,CONSTRUCCION,SOD-VAR-001,Pieza,52.50,45.67,59.32
SOD-VAR-002,"Varilla #4 (1/2"") DEACERO",Varilla corrugada #4 1/2 pulgada 6m,DEACERO,CONSTRUCCION,CONSTRUCCION,SOD-VAR-002,Pieza,89.00,77.43,100.57
SOD-BLO-001,Block Hueco 12cm,Block concreto hueco 12x20x40cm,LOCAL,CONSTRUCCION,CONSTRUCCION,SOD-BLO-001,Pieza,14.50,12.62,16.38
SOD-BLO-002,Block Hueco 15cm,Block concreto hueco 15x20x40cm,LOCAL,CONSTRUCCION,CONSTRUCCION,SOD-BLO-002,Pieza,17.25,15.01,19.49
SOD-LAD-001,Ladrillo Rojo Común,Ladrillo rojo recocido 6x12x25cm,LOCAL,CONSTRUCCION,CONSTRUCCION,SOD-LAD-001,Pieza,4.50,3.92,5.08
SOD-CAL-001,Cal Hidratada 20kg,Cal hidratada tipo N bulto 20kg,LOCAL,CONSTRUCCION,CONSTRUCCION,SOD-CAL-001,Pieza,65.00,56.55,73.45
SOD-MAR-001,Martillo Carpintero 16oz,Martillo carpintero 16oz mango hickory,PRETUL,HERRAMIENTAS,HERRAMIENTAS,SOD-MAR-001,Pieza,285.00,247.95,322.05
SOD-SIE-001,"Sierra Madera 22""",Sierra para madera 22 pulgadas 7 puntas,PRETUL,HERRAMIENTAS,HERRAMIENTAS,SOD-SIE-001,Pieza,189.00,164.43,213.57
SOD-ESC-001,Escuadra Carpintero 30cm,Escuadra de carpintero aluminio 30cm,PRETUL,HERRAMIENTAS,HERRAMIENTAS,SOD-ESC-001,Pieza,125.00,108.75,141.25
SOD-NIV-001,"Nivel Torpedo 9""",Nivel torpedo 9 pulgadas 3 burbujas,PRETUL,HERRAMIENTAS,HERRAMIENTAS,SOD-NIV-001,Pieza,95.00,82.65,107.35
SOD-FLE-001,Flexómetro 5m,Flexómetro 5 metros carcasa resistente,PRETUL,HERRAMIENTAS,HERRAMIENTAS,SOD-FLE-001,Pieza,125.00,108.75,141.25
SOD-TUB-001,"Tubo PVC 2"" TIGRE",Tubo PVC sanitario 2 pulgadas 6m,TIGRE,PLOMERIA,PLOMERIA,SOD-TUB-001,Pieza,185.00,160.95,209.05
SOD-TUB-002,"Tubo PVC 4"" TIGRE",Tubo PVC sanitario 4 pulgadas 6m,TIGRE,PLOMERIA,PLOMERIA,SOD-TUB-002,Pieza,399.00,347.13,450.87
SOD-COD-001,"Codo PVC 90° 2""",Codo PVC 90 grados 2 pulgadas,TIGRE,PLOMERIA,PLOMERIA,SOD-COD-001,Pieza,22.50,19.57,25.42
SOD-TEE-001,"Tee PVC 2""",Tee PVC 2 pulgadas sanitario,TIGRE,PLOMERIA,PLOMERIA,SOD-TEE-001,Pieza,35.00,30.45,39.55
SOD-RED-001,"Reducción PVC 4"" x 2""",Reducción PVC de 4 a 2 pulgadas,TIGRE,PLOMERIA,PLOMERIA,SOD-RED-001,Pieza,45.50,39.59,51.41
SOD-CAB-001,Cable TW 14 AWG,Cable TW calibre 14 AWG rollo 100m,KOBREX,ELECTRICIDAD,ELECTRICIDAD,SOD-CAB-001,Pieza,899.00,782.13,1015.87
SOD-CAB-002,Cable TW 12 AWG,Cable TW calibre 12 AWG rollo 100m,KOBREX,ELECTRICIDAD,ELECTRICIDAD,SOD-CAB-002,Pieza,1299.00,1130.13,1467.87
SOD-TUB-003,"Tubo Conduit 3/4""",Tubo conduit galvanizado 3/4 pulgada,KOBREX,ELECTRICIDAD,ELECTRICIDAD,SOD-TUB-003,Pieza,125.00,108.75,141.25
SOD-CON-001,"Conector Conduit 1/2""",Conector recto conduit 1/2 pulgada,KOBREX,ELECTRICIDAD,ELECTRICIDAD,SOD-CON-001,Pieza,15.50,13.48,17.51
